"","SiteID","TreeName","Species","Maturity","EstYear","StudyArea","Elev","Vline","bins"
"1781","WIL","WA6309","PIEN","SEE",1964,"JNP",-125,1960,1960
"1782","WIL","WA6310","PIEN","SEE",1967,"JNP",-125,1960,1965
"1783","WIL","WA6311","PIEN","SEE",1964,"JNP",-125,1960,1960
"1784","WIL","WA6312","PIEN","SAP",1968,"JNP",-125,1960,1965
"1785","WIL","WA6313","ABLA","SEE",1969,"JNP",-125,1960,1965
"1786","WIL","WA6314","PIEN","SEE",1968,"JNP",-125,1960,1965
"1787","WIL","WA6315","ABLA","SEE",1969,"JNP",-125,1960,1965
"1788","WIL","WA6316","ABLA","SEE",1968,"JNP",-125,1960,1965
"1789","WIL","WA6317","PIEN","SEE",1977,"JNP",-125,1960,1975
"1790","WIL","WA6318","ABLA","SEE",1969,"JNP",-125,1960,1965
"1791","WIL","WA6319","PIEN","SEE",1972,"JNP",-125,1960,1970
"1792","WIL","WA6320","ABLA","SEE",1967,"JNP",-125,1960,1965
"1793","WIL","WA6321","PIEN","SAP",1957,"JNP",-125,1960,1955
"1794","WIL","WA6401","ABLA","SEE",1975,"JNP",-125,1960,1975
"1795","WIL","WA6402","ABLA","SEE",1970,"JNP",-125,1960,1970
"1796","WIL","WB6101","PIEN","SEE",1972,"JNP",-100,1960,1970
"1797","WIL","WB6102","PIEN","SEE",1969,"JNP",-100,1960,1965
"1798","WIL","WB6103","ABLA","SEE",1964,"JNP",-100,1960,1960
"1799","WIL","WB6104","ABLA","SEE",1969,"JNP",-100,1960,1965
"1800","WIL","WB6105","PIEN","SEE",1970,"JNP",-100,1960,1970
"1801","WIL","WB6106","ABLA","SEE",1969,"JNP",-100,1960,1965
"1802","WIL","WB6107","ABLA","SEE",1971,"JNP",-100,1960,1970
"1803","WIL","WB6108","PIEN","SEE",1977,"JNP",-100,1960,1975
"1804","WIL","WB6109","ABLA","SEE",1975,"JNP",-100,1960,1975
"1805","WIL","WB6110","PIEN","SEE",1969,"JNP",-100,1960,1965
"1806","WIL","WB6111","PIEN","SEE",1968,"JNP",-100,1960,1965
"1807","WIL","WB6112","PIEN","SAP",1967,"JNP",-100,1960,1965
"1808","WIL","WB6113","ABLA","SEE",1969,"JNP",-100,1960,1965
"1809","WIL","WB6201","ABLA","SEE",1975,"JNP",-100,1960,1975
"1810","WIL","WB6202","PIEN","SEE",1976,"JNP",-100,1960,1975
"1811","WIL","WB6203","PIEN","SEE",1976,"JNP",-100,1960,1975
"1812","WIL","WB6204","PIEN","SEE",1967,"JNP",-100,1960,1965
"1813","WIL","WB6205","PIEN","SEE",1969,"JNP",-100,1960,1965
"1814","WIL","WB6206","PIEN","SEE",1969,"JNP",-100,1960,1965
"1815","WIL","WB6207","PIEN","SEE",1974,"JNP",-100,1960,1970
"1816","WIL","WB6208","PIEN","SEE",1967,"JNP",-100,1960,1965
"1817","WIL","WB6209","ABLA","SEE",1967,"JNP",-100,1960,1965
"1818","WIL","WB6210","ABLA","SEE",1963,"JNP",-100,1960,1960
"1819","WIL","WB6401","ABLA","SEE",1971,"JNP",-100,1960,1970
"1820","WIL","WB6402","ABLA","SEE",1974,"JNP",-100,1960,1970
"1821","WIL","WB6403","PIEN","SEE",1954,"JNP",-100,1960,1950
"1822","WIL","WB6404","ABLA","SEE",1970,"JNP",-100,1960,1970
"1823","WIL","WB6405","ABLA","SEE",1963,"JNP",-100,1960,1960
"1824","WIL","WC6101","ABLA","SEE",1964,"JNP",-75,1960,1960
"1825","WIL","WC6102","ABLA","SEE",1966,"JNP",-75,1960,1965
"1826","WIL","WC6103","PIEN","SEE",1984,"JNP",-75,1960,1980
"1827","WIL","WC6104","PIEN","SEE",1985,"JNP",-75,1960,1985
"1828","WIL","WC6105","PIEN","SEE",1983,"JNP",-75,1960,1980
"1829","WIL","WC6106","ABLA","SEE",1979,"JNP",-75,1960,1975
"1830","WIL","WC6107","PIEN","SEE",1973,"JNP",-75,1960,1970
"1831","WIL","WC6108","PIEN","SEE",1976,"JNP",-75,1960,1975
"1832","WIL","WC6109","PIEN","SEE",1983,"JNP",-75,1960,1980
"1833","WIL","WC6110","ABLA","SEE",1969,"JNP",-75,1960,1965
"1834","WIL","WC6111","PIEN","SEE",1984,"JNP",-75,1960,1980
"1835","WIL","WC6112","PIEN","SEE",1981,"JNP",-75,1960,1980
"1836","WIL","WC6113","PIEN","SEE",1976,"JNP",-75,1960,1975
"1837","WIL","WC6114","ABLA","SEE",1968,"JNP",-75,1960,1965
"1838","WIL","WC6115","PIEN","SEE",1969,"JNP",-75,1960,1965
"1839","WIL","WC6116","PIEN","SEE",1974,"JNP",-75,1960,1970
"1840","WIL","WC6117","ABLA","SEE",1964,"JNP",-75,1960,1960
"1841","WIL","WC6118","PIEN","SEE",1985,"JNP",-75,1960,1985
"1842","WIL","WC6119","PIEN","SEE",1993,"JNP",-75,1960,1990
"1843","WIL","WC6120","PIEN","SEE",1993,"JNP",-75,1960,1990
"1844","WIL","WC6121","PIEN","SEE",1976,"JNP",-75,1960,1975
"1845","WIL","WC6122","PIEN","SEE",1992,"JNP",-75,1960,1990
"1846","WIL","WC6123","PIEN","SEE",1993,"JNP",-75,1960,1990
"1847","WIL","WC6124","PIEN","SEE",1992,"JNP",-75,1960,1990
"1848","WIL","WC6201","PIEN","SEE",1975,"JNP",-75,1960,1975
"1849","WIL","WC6202","PIEN","SEE",1971,"JNP",-75,1960,1970
"1850","WIL","WC6203","ABLA","SEE",1969,"JNP",-75,1960,1965
"1851","WIL","WC6301","PIEN","SEE",1968,"JNP",-75,1960,1965
"1852","WIL","WC6302","ABLA","SEE",1965,"JNP",-75,1960,1965
"1853","WIL","WC6303","PIEN","SEE",1974,"JNP",-75,1960,1970
"1854","WIL","WC6304","PIEN","SEE",1975,"JNP",-75,1960,1975
"1855","WIL","WC6305","PIEN","SEE",1973,"JNP",-75,1960,1970
"1856","WIL","WC6306","PIEN","SEE",1973,"JNP",-75,1960,1970
"1857","WIL","WC6401","ABLA","SEE",1971,"JNP",-75,1960,1970
"1858","WIL","WC6402","PIEN","SEE",1972,"JNP",-75,1960,1970
"1859","WIL","WC6403","ABLA","SEE",1976,"JNP",-75,1960,1975
"1860","WIL","WC6404","PIEN","SEE",1969,"JNP",-75,1960,1965
"1861","WIL","WC6405","ABLA","SEE",1968,"JNP",-75,1960,1965
"1862","WIL","WC6406","PIEN","SEE",1977,"JNP",-75,1960,1975
"1863","WIL","WC6407","ABLA","SEE",1973,"JNP",-75,1960,1970
"1864","WIL","WC6408","PIEN","SEE",1973,"JNP",-75,1960,1970
"1865","WIL","WC6409","PIEN","SEE",1984,"JNP",-75,1960,1980
"1866","WIL","WC6501","PIEN","SEE",1973,"JNP",-75,1960,1970
"1867","WIL","WC6502","PIEN","SEE",1967,"JNP",-75,1960,1965
"1868","WIL","WC6503","PIEN","SEE",1967,"JNP",-75,1960,1965
"1869","WIL","WC6504","PIEN","SEE",1975,"JNP",-75,1960,1975
"1870","WIL","WC6505","PIEN","SEE",1967,"JNP",-75,1960,1965
"1871","WIL","WC6506","PIEN","SEE",1967,"JNP",-75,1960,1965
"1872","WIL","WC6507","PIEN","SEE",1976,"JNP",-75,1960,1975
"1873","WIL","WD6101","PIEN","SEE",1976,"JNP",-50,1960,1975
"1874","WIL","WD6102","ABLA","SEE",1962,"JNP",-50,1960,1960
"1875","WIL","WD6103","ABLA","SEE",1962,"JNP",-50,1960,1960
"1876","WIL","WD6104","PIEN","SEE",1972,"JNP",-50,1960,1970
"1877","WIL","WD6105","PIEN","SEE",1972,"JNP",-50,1960,1970
"1878","WIL","WD6106","ABLA","SEE",1968,"JNP",-50,1960,1965
"1879","WIL","WD6107","PIEN","SEE",1966,"JNP",-50,1960,1965
"1880","WIL","WD6108","PIEN","SEE",1960,"JNP",-50,1960,1960
"1881","WIL","WD6109","PIEN","SEE",1967,"JNP",-50,1960,1965
"1882","WIL","WD6110","PIEN","SEE",1965,"JNP",-50,1960,1965
"1883","WIL","WD6111","PIEN","SEE",1970,"JNP",-50,1960,1970
"1884","WIL","WD6301","ABLA","SEE",1963,"JNP",-50,1960,1960
"1885","WIL","WD6302","ABLA","SEE",1966,"JNP",-50,1960,1965
"1886","WIL","WD6401","PIEN","SEE",1974,"JNP",-50,1960,1970
"1887","WIL","WD6402","ABLA","SEE",1965,"JNP",-50,1960,1965
"1888","WIL","WD6403","ABLA","SEE",1963,"JNP",-50,1960,1960
"1889","WIL","WE1101","PIEN","SEE",1976,"JNP",-25,1960,1975
"1890","WIL","WE1201","PIEN","SEE",1983,"JNP",-25,1960,1980
"1891","WIL","WE1202","PIEN","SEE",1970,"JNP",-25,1960,1970
"1892","WIL","WE1203","PIEN","SEE",1966,"JNP",-25,1960,1965
"1893","WIL","WE1204","PIEN","SEE",1966,"JNP",-25,1960,1965
